Time,CHIRPS1,Actual,Selaud
15/07/2016,7.409443,,0
16/07/2016,14.664539,,3
17/07/2016,14.664539,,45
18/07/2016,0,,1
19/07/2016,14.664539,,2.5
20/07/2016,14.664539,,19
21/07/2016,8.398022,,20.5
22/07/2016,25.194067,,9.5
23/07/2016,8.398022,,0
24/07/2016,8.398022,,29
25/07/2016,41.99011,,30
26/07/2016,33.13092,,3
27/07/2016,8.28273,,14.5
28/07/2016,8.28273,,12
29/07/2016,16.56546,,0
30/07/2016,57.97911,,27
31/07/2016,24.848188,,79
01/08/2016,53.997948,,15.5
02/08/2016,32.398766,,8
03/08/2016,0,,4
04/08/2016,0,,0
05/08/2016,0,,2.5
06/08/2016,23.756783,,0
07/08/2016,7.918928,,0
08/08/2016,0,,1
09/08/2016,0,,0
10/08/2016,15.837856,,0
11/08/2016,0,,10
12/08/2016,0,,0
13/08/2016,0,,0
14/08/2016,0,,0
15/08/2016,0,,18.5
16/08/2016,11.053316,,0
17/08/2016,0,,0.5
18/08/2016,0,,0
19/08/2016,0,,0
20/08/2016,11.053316,,0
21/08/2016,0,,1.5
22/08/2016,28.40349,,5.5
23/08/2016,0,,9.5
24/08/2016,4.733915,,2
25/08/2016,0,,0
26/08/2016,33.362377,,0
27/08/2016,16.681189,,0.5
28/08/2016,16.681189,,2.5
29/08/2016,0,,4.5
30/08/2016,25.021784,,0.5
31/08/2016,8.340594,,3
01/09/2016,10.683308,,0
02/09/2016,0,,4.5
03/09/2016,0,,0.5
04/09/2016,10.683308,,0
05/09/2016,10.683308,,0
06/09/2016,27.588987,,0
07/09/2016,9.196328,,0.5
08/09/2016,27.588987,,2.5
09/09/2016,27.588987,,16.5
10/09/2016,27.588987,,50
11/09/2016,5.46,,52.5
12/09/2016,0,,2
13/09/2016,0,,1.5
14/09/2016,0,,0
15/09/2016,5.46,,0
16/09/2016,12.650415,,0
17/09/2016,4.216805,,37.5
18/09/2016,0,,12.5
19/09/2016,0,,11
20/09/2016,16.86722,,4.5
21/09/2016,6.4987707,,3
22/09/2016,12.997541,,6
23/09/2016,0,,6.5
24/09/2016,0,,7.5
25/09/2016,6.4987707,,0
26/09/2016,2.8289683,,0
27/09/2016,5.6579366,,0.5
28/09/2016,8.486905,,0
29/09/2016,5.6579366,,0
30/09/2016,0,,5
01/10/2016,0,,0.5
02/10/2016,8.205371,,0
03/10/2016,0,,0
04/10/2016,24.616114,,0
05/10/2016,8.205371,,0
06/10/2016,23.058027,,0
07/10/2016,13.176016,,7.5
08/10/2016,0,,11.5
09/10/2016,11.529014,,4
10/10/2016,0,,0
11/10/2016,8.197455,,14.5
12/10/2016,8.197455,,0
13/10/2016,0,,0
14/10/2016,16.39491,,0
15/10/2016,8.197455,,2
16/10/2016,13.036232,,0
17/10/2016,6.518116,,0
18/10/2016,13.036232,,27
19/10/2016,0,,1
20/10/2016,6.518116,,0
21/10/2016,16.321312,,10.5
22/10/2016,0,,0
23/10/2016,0,,0
24/10/2016,0,,0.5
25/10/2016,16.321312,,43.5
26/10/2016,27.667076,,81.5
27/10/2016,9.222359,,10
28/10/2016,18.444717,,0.5
29/10/2016,0,,5
30/10/2016,9.222359,,0
31/10/2016,18.444717,,20
01/11/2016,26.105293,,31.5
02/11/2016,26.105293,,34.5
03/11/2016,26.105293,,0
04/11/2016,43.50882,,0
05/11/2016,26.105293,,0
06/11/2016,8.502355,,33.5
07/11/2016,0,,12
08/11/2016,0,,0.5
09/11/2016,8.502355,,0
10/11/2016,0,,0
11/11/2016,4.013466,,3
12/11/2016,4.013466,,0
13/11/2016,0,,0
14/11/2016,4.013466,,0
15/11/2016,0,,1.5
16/11/2016,3.7639098,,0.5
17/11/2016,0,,1
18/11/2016,7.5278196,,0
19/11/2016,0,,0
20/11/2016,7.5278196,,0
21/11/2016,0,,5.5
22/11/2016,0,,0
23/11/2016,19.121653,,3.5
24/11/2016,0,,23.5
25/11/2016,0,,0
26/11/2016,0,,0
27/11/2016,7.36889,,0
28/11/2016,0,,8.5
29/11/2016,7.36889,,0
30/11/2016,22.106668,,63.5
01/12/2016,6.6663747,,2.5
02/12/2016,19.999123,,2
03/12/2016,6.6663747,,6
04/12/2016,6.6663747,,4
05/12/2016,6.6663747,,3
06/12/2016,0,,0
07/12/2016,4.652963,,0
08/12/2016,18.611853,,1.5
09/12/2016,13.95889,,4
10/12/2016,13.95889,,13.5
11/12/2016,2.710742,,0.5
12/12/2016,0,,0
13/12/2016,0,,33.5
14/12/2016,2.710742,,0
15/12/2016,5.421484,,0
16/12/2016,0,,0.5
17/12/2016,0,,0
18/12/2016,0,,0.5
19/12/2016,0,,0.5
20/12/2016,0,,0
21/12/2016,0,,7.5
22/12/2016,0,,1
23/12/2016,13.744658,,0
24/12/2016,13.744658,,3
25/12/2016,0,,0
26/12/2016,4.4526243,,0
27/12/2016,13.357872,,0.5
28/12/2016,4.4526243,,73.5
29/12/2016,8.905249,,0.5
30/12/2016,0,,20.5
31/12/2016,8.905249,,0
01/01/2017,7.8067617,,0.5
02/01/2017,0,,0
03/01/2017,0,,0.5
04/01/2017,0,,1
05/01/2017,7.8067617,,0
06/01/2017,0,,13.5
07/01/2017,0,,0.5
08/01/2017,2.7512977,,0
09/01/2017,0,,12.5
10/01/2017,0,,0
11/01/2017,2.5361226,,0
12/01/2017,7.608368,,0
13/01/2017,2.5361226,,0
14/01/2017,0,,35
15/01/2017,0,,4
16/01/2017,0,,0.5
17/01/2017,3.353123,,0
18/01/2017,10.059369,,10
19/01/2017,10.059369,,3
20/01/2017,3.353123,,2
21/01/2017,14.540329,,0.5
22/01/2017,14.540329,,9
23/01/2017,0,,6
24/01/2017,0,,0
25/01/2017,4.846776,,3
26/01/2017,0,,1
27/01/2017,0,,0
28/01/2017,0,,0.5
29/01/2017,0,,0
30/01/2017,4.901102,,0
31/01/2017,7.351653,,0
01/02/2017,5.759733,,0
02/02/2017,2.8798666,,39.5
03/02/2017,0,,1
04/02/2017,0,,4
05/02/2017,0,,0
06/02/2017,0,,16
07/02/2017,0,,13
08/02/2017,0,,0
09/02/2017,0,,0.5
10/02/2017,0,,0
11/02/2017,0,,0
12/02/2017,0,,0
13/02/2017,0,,0
14/02/2017,0,,0
15/02/2017,0,,0
16/02/2017,0,,0
17/02/2017,1.002336,,0
18/02/2017,2.004672,,1.5
19/02/2017,1.002336,,0.5
20/02/2017,1.002336,,0
21/02/2017,0,,0
22/02/2017,0,,0
23/02/2017,9.418329,,0
24/02/2017,6.2788863,,2
25/02/2017,3.1394432,,45.5
26/02/2017,0,,0.5
27/02/2017,0.39397115,,0
28/02/2017,0,,0
01/03/2017,0,,0
02/03/2017,0,,0
03/03/2017,0,,0
04/03/2017,0,,0.5
05/03/2017,0,,0
06/03/2017,0,,0
07/03/2017,0,,0
08/03/2017,0,,0
09/03/2017,3.806164,,1
10/03/2017,3.806164,,0.5
11/03/2017,20.266424,,0
12/03/2017,20.266424,,30
13/03/2017,0,,8.5
14/03/2017,0,,0
15/03/2017,0,,0
16/03/2017,0,,0
17/03/2017,0,,0
18/03/2017,0,,1
19/03/2017,0,,0
20/03/2017,0,,0
21/03/2017,0,,0
22/03/2017,6.497698,,0
23/03/2017,0,,0
24/03/2017,12.995396,,0
25/03/2017,0,,13
26/03/2017,0,,11.5
27/03/2017,4.5650444,,0
28/03/2017,9.130089,,0
29/03/2017,13.695133,,0.5
30/03/2017,4.5650444,,2
31/03/2017,4.5650444,,0.5
01/04/2017,11.70817,,7
02/04/2017,0,,1
03/04/2017,11.70817,,0
04/04/2017,23.41634,,35
05/04/2017,0,,12
06/04/2017,12.783028,,0.5
07/04/2017,0,,6
08/04/2017,0,,1
09/04/2017,12.783028,,0
10/04/2017,0,,27.5
11/04/2017,0,,0
12/04/2017,0,,0
13/04/2017,0,,0
14/04/2017,0,,1
15/04/2017,0,,0
16/04/2017,11.099334,,1
17/04/2017,8.456635,,2
18/04/2017,7.399556,,30.5
19/04/2017,0,,1
20/04/2017,3.699778,,0
21/04/2017,13.364673,,0
22/04/2017,0,,1
23/04/2017,0,,0
24/04/2017,0,,0
25/04/2017,0,,0
26/04/2017,0,,0
27/04/2017,0,,0
28/04/2017,0,,0
29/04/2017,0,,0
30/04/2017,0,,0
01/05/2017,16.09621,,0
02/05/2017,48.28863,,0
03/05/2017,0,,0
04/05/2017,0,,0
05/05/2017,32.19242,,0.5
06/05/2017,8.8792305,,38
07/05/2017,8.8792305,,0.5
08/05/2017,17.758461,,4
09/05/2017,0,,11
10/05/2017,0,,0
11/05/2017,14.737492,,0.5
12/05/2017,7.368746,,16.5
13/05/2017,14.737492,,0
14/05/2017,7.368746,,4
15/05/2017,22.106237,,4.5
16/05/2017,6.180508,,0
17/05/2017,18.541525,,2
18/05/2017,0,,29.5
19/05/2017,12.361016,,0
20/05/2017,12.361016,,39
21/05/2017,6.4397635,,23.5
22/05/2017,0,,25
23/05/2017,16.09941,,0
24/05/2017,9.659645,,57
